name,city,iata,latitude,longitude
Liverpool,Liverpool,LPL,53.333611,-2.849722
Luton,London,LTN,51.874722,-0.368333
Plymouth,Plymouth,PLH,50.422778,-4.105833
Bournemouth,Bournemouth,BOH,50.78,-1.8425
Southampton,Southampton,SOU,50.950261,-1.356803
Lasham,Lasham,QLA,51.187167,-1.0335
Alderney,Alderney,ACI,49.706111,-2.214722
Guernsey,Guernsey,GCI,49.434956,-2.601969
Jersey,Jersey,JER,49.207947,-2.195508
Shoreham,Shoreham By Sea,ESH,50.835556,-0.297222
Biggin Hill,Biggin Hill,BQH,51.330833,0.0325
Gatwick,London,LGW,51.148056,-0.190278
City,London,LCY,51.505278,0.055278
